Identyfikator transakcji ;Identyfikator konta ;ID symbolu    ;ISIN         ;Rodzaj operacji    ;Gdy              ;Suma     ;Aktywa        ;Ekwiwalent EUR ;Komentarz                                                                                                                                                                                                     ;UUID                                 ;Rodzic UUID
528705393;RPM3275.001         ;DAPP.SIX      ;IE00BMDKNW35 ;TRADE              ;29.12.2023 14:16;100;DAPP.SIX      ;749.19         ;None                                                                                                                                                                                                          ;3ca82031-2411-403c-a8f9-36b07fd77f35 ;None
528705394;RPM3275.001         ;DAPP.SIX      ;None         ;TRADE              ;29.12.2023 14:16;-695.5   ;CHF           ;-749.19        ;None                                                                                                                                                                                                          ;f27944e6-1f24-43f8-bedb-7c088a345fae ;None
528705395;RPM3275.001         ;None          ;None         ;AUTOCONVERSION     ;29.12.2023 14:16;695.5    ;CHF           ;749.19         ;crossrate=1.1904905530301 commission=0.002 conversion rate=1.1928715341361602 is commission applied=true                                                                                                      ;a67a9d59-d481-4cdd-9f3e-243285de3d59 ;f27944e6-1f24-43f8-bedb-7c088a345fae
528705396;RPM3275.001         ;None          ;None         ;AUTOCONVERSION     ;29.12.2023 14:16;-829.65  ;USD           ;-750.69        ;crossrate=1.1904905530301 commission=0.002 conversion rate=1.1928715341361602 is commission applied=true                                                                                                      ;48afdd94-f7c9-42ed-b017-a00ab2ecfd7b ;f27944e6-1f24-43f8-bedb-7c088a345fae
528705397;RPM3275.001         ;DAPP.SIX      ;None         ;COMMISSION         ;29.12.2023 14:16;-1.0     ;CHF           ;-1.08          ;None                                                                                                                                                                                                          ;763eafdf-7f26-47ca-8415-014ce5f01904 ;None
528705398;RPM3275.001         ;None          ;None         ;AUTOCONVERSION     ;29.12.2023 14:16;1.0      ;CHF           ;01.sie;crossrate=1.1904905530301 commission=0.002 conversion rate=1.1928715341361602 is commission applied=true                                                                                                      ;dd0eb440-2e1c-4e8f-8ba1-8ded2725e0ea ;763eafdf-7f26-47ca-8415-014ce5f01904
528705399;RPM3275.001         ;None          ;None         ;AUTOCONVERSION     ;29.12.2023 14:16;-1.2     ;USD           ;-1.09          ;crossrate=1.1904905530301 commission=0.002 conversion rate=1.1928715341361602 is commission applied=true                                                                                                      ;02fd6314-2f54-4d6d-a672-1a5d18113b8d ;763eafdf-7f26-47ca-8415-014ce5f01904
528640191;RPM3275.001         ;PLD.NYSE      ;None         ;US TAX             ;29.12.2023 05:06;-0.66    ;USD           ;-0.6           ;5 shares ExD 2023-12-15 PD 2023-12-29 dividend PLD.NYSE 4.35 USD (0.8700 per share) tax -0.66 USD (-15.000%) DivCntry US USIncmCode 52                                                                        ;10106e73-f91d-4571-b61f-8411ae78d78c ;None
528640190;RPM3275.001         ;PLD.NYSE      ;None         ;DIVIDEND           ;29.12.2023 05:06;kwi.35;USD           ;mar.93;5 shares ExD 2023-12-15 PD 2023-12-29 dividend PLD.NYSE 4.35 USD (0.8700 per share) tax -0.66 USD (-15.000%) DivCntry US USIncmCode 52                                                                        ;082e793d-8c3c-4636-9553-d957c23484a8 ;None
528370353;RPM3275.001         ;UUUU.AMEX     ;CA2926717083 ;TRADE              ;28.12.2023 15:00;100;UUUU.AMEX     ;633.63         ;None                                                                                                                                                                                                          ;904e2204-6b57-44fd-be50-2ab81348db27 ;None
528370354;RPM3275.001         ;UUUU.AMEX     ;None         ;TRADE              ;28.12.2023 15:00;-703.5   ;USD           ;-633.63        ;None                                                                                                                                                                                                          ;f8941bbb-82bf-40d2-ba1f-c4d44bf3ab64 ;None
